Serial No,Coin,Price,1h Change,24h Change,7d Change,24h Volume,Market Cap
124,Binance-Peg Dogecoin DOGE,$0.3505,0.3%,0.9%,6.6%,,"$2,257,460"
126,ai16z AI16Z,$0.7994,1.5%,3.4%,21.4%,,"$127,873,240"
125,Decentraland MANA,$0.4714,0.2%,0.4%,3.9%,,"$49,669,417"
127,AIOZ Network AIOZ,$0.7562,0.6%,2.7%,15.5%,,"$8,872,372"
128,Arbitrum Bridged WBTC (Arbitrum One) WBTC,"$104,231",0.1%,0.2%,0.4%,,"$69,658,194"
129,ether.fi Staked ETH EETH,"$3,290.20",0.3%,0.5%,4.2%,,"$126,102"
130,MultiversX EGLD,$30.30,0.0%,1.1%,9.7%,,"$17,871,865"
131,Brett BRETT,$0.08514,0.6%,1.4%,18.4%,,"$26,537,352"
132,Wrapped BNB WBNB,$685.57,0.0%,0.2%,0.6%,,"$115,250,827"
133,dYdX DYDX,$1.15,0.1%,0.8%,7.3%,,"$27,506,081"
134,Jito JTO,$2.86,0.4%,3.4%,10.9%,,"$54,949,586"
135,Polygon MATIC,$0.4334,0.5%,0.4%,5.4%,,"$4,839,806"
136,Core CORE,$0.8254,0.2%,1.1%,7.6%,,"$26,081,767"
137,USDD USDD,$0.9975,0.2%,0.3%,0.1%,,"$2,772,857"
138,Aerodrome Finance AERO,$0.9978,0.2%,1.6%,16.0%,,"$34,179,327"
139,Mantle Restaked ETH CMETH,"$3,477.06",0.1%,0.0%,2.1%,,"$8,564,925"
140,Zcash ZEC,$46.49,0.0%,0.8%,4.9%,,"$95,519,270"
141,Conflux CFX,$0.1499,0.5%,0.4%,4.0%,,"$33,564,330"
142,L2 Standard Bridged WETH (Base) WETH,"$3,298.95",0.1%,0.2%,2.7%,,"$686,900,331"
143,ApeCoin APE,$0.9828,0.1%,1.7%,4.3%,,"$74,452,240"
144,Chiliz CHZ,$0.07494,0.0%,2.4%,5.5%,,"$36,404,489"
145,Arbitrum Bridged WETH (Arbitrum One) WETH,"$3,299.12",0.1%,0.2%,2.6%,,"$241,383,903"
146,Helium HNT,$3.88,0.1%,2.4%,24.7%,,"$9,858,816"
147,Ether.fi Staked BTC EBTC,"$104,129",0.0%,0.3%,0.3%,,"$1,274,789"
148,Reserve Rights RSR,$0.0124,0.2%,0.1%,10.0%,,"$43,775,245"
149,Tether Gold XAUT,"$2,756.22",0.1%,0.1%,2.5%,,"$4,786,640"
150,Akash Network AKT,$2.73,0.2%,0.2%,6.6%,,"$5,505,051"
